zip,neighborhood,borough
10001,Chelsea/Clinton,Manhattan
10002,Lower East Side,Manhattan
10003,Lower East Side,Manhattan
10004,Lower Manhattan,Manhattan
10005,Lower Manhattan,Manhattan
10006,Lower Manhattan,Manhattan
10007,Lower Manhattan,Manhattan
10009,Lower East Side,Manhattan
10010,Gramercy Park/Murray Hill,Manhattan
10011,Chelsea/Clinton,Manhattan
10012,Greenwich Village/Soho,Manhattan
10013,Greenwich Village/Soho,Manhattan
10014,Greenwich Village/Soho,Manhattan
10016,Gramercy Park/Murray Hill,Manhattan
10017,Gramercy Park/Murray Hill,Manhattan
10018,Chelsea/Clinton,Manhattan
10019,Chelsea/Clinton,Manhattan
10020,Chelsea/Clinton,Manhattan
10021,Upper East Side,Manhattan
10022,Gramercy Park/Murray Hill,Manhattan
10023,Upper West Side,Manhattan
10024,Upper West Side,Manhattan
10025,Upper West Side,Manhattan
10026,Central Harlem,Manhattan
10027,Central Harlem,Manhattan
10028,Upper East Side,Manhattan
10029,East Harlem,Manhattan
10030,Central Harlem,Manhattan
10031,Inwood/Washington Heights,Manhattan
10032,Inwood/Washington Heights,Manhattan
10033,Inwood/Washington Heights,Manhattan
10034,Inwood/Washington Heights,Manhattan
10035,East Harlem,Manhattan
10036,Chelsea/Clinton,Manhattan
10037,Central Harlem,Manhattan
10038,Lower Manhattan,Manhattan
10039,Central Harlem,Manhattan
10040,Inwood/Washington Heights,Manhattan
10044,Upper East Side,Manhattan
10065,Upper East Side,Manhattan
10075,Upper East Side,Manhattan
10128,Upper East Side,Manhattan
10278,Lower Manhattan,Manhattan
10280,Lower Manhattan,Manhattan
10282,Lower Manhattan,Manhattan
10301,Stapleton/St. George,Staten Island
10302,Port Richmond,Staten Island
10303,Port Richmond,Staten Island
10304,Stapleton/St. George,Staten Island
10305,Stapleton/St. George,Staten Island
10306,South Shore,Staten Island
10307,South Shore,Staten Island
10310,Port Richmond,Staten Island
10312,South Shore,Staten Island
10314,Mid-Island,Staten Island
10451,High Bridge/Morrisania,Bronx
10452,High Bridge/Morrisania,Bronx
10453,Central Bronx,Bronx
10454,Hunts Point/Mott Haven,Bronx
10455,Hunts Point/Mott Haven,Bronx
10456,High Bridge/Morrisania,Bronx
10457,Central Bronx,Bronx
10458,Bronx Park/Fordham,Bronx
10459,Hunts Point/Mott Haven,Bronx
10460,Central Bronx,Bronx
10461,Southeast Bronx,Bronx
10462,Southeast Bronx,Bronx
10463,Kingsbridge/Riverdale,Bronx
10464,Southeast Bronx,Bronx
10465,Southeast Bronx,Bronx
10466,Northeast Bronx,Bronx
10467,Bronx Park/Fordham,Bronx
10468,Bronx Park/Fordham,Bronx
10469,Northeast Bronx,Bronx
10470,Northeast Bronx,Bronx
10471,Kingsbridge/Riverdale,Bronx
10472,Southeast Bronx,Bronx
10473,Southeast Bronx,Bronx
10474,Hunts Point/Mott Haven,Bronx
10475,Northeast Bronx,Bronx
11004,Southeast Queens,Queens
11101,Northwest Queens,Queens
11102,Northwest Queens,Queens
11103,Northwest Queens,Queens
11104,Northwest Queens,Queens
11105,Northwest Queens,Queens
11106,Northwest Queens,Queens
11201,Northwest Brooklyn,Brooklyn
11203,Flatbush,Brooklyn
11204,Borough Park,Brooklyn
11205,Northwest Brooklyn,Brooklyn
11206,Bushwick/Williamsburg,Brooklyn
11207,East New York/New Lots,Brooklyn
11208,East New York/New Lots,Brooklyn
11209,Southwest Brooklyn,Brooklyn
11210,Flatbush,Brooklyn
11211,Greenpoint,Brooklyn
11212,Central Brooklyn,Brooklyn
11212,Greenpoint,Brooklyn
11213,Central Brooklyn,Brooklyn
11214,Southwest Brooklyn,Brooklyn
11215,Northwest Brooklyn,Brooklyn
11216,Central Brooklyn,Brooklyn
11217,Northwest Brooklyn,Brooklyn
11218,Borough Park,Brooklyn
11219,Borough Park,Brooklyn
11220,Sunset Park,Brooklyn
11221,Bushwick/Williamsburg,Brooklyn
11222,Greenpoint,Brooklyn
11223,Southern Brooklyn,Brooklyn
11224,Southern Brooklyn,Brooklyn
11225,Flatbush,Brooklyn
11226,Flatbush,Brooklyn
11228,Southwest Brooklyn,Brooklyn
11229,Southern Brooklyn,Brooklyn
11230,Borough Park,Brooklyn
11231,Northwest Brooklyn,Brooklyn
11232,Sunset Park,Brooklyn
11233,Central Brooklyn,Brooklyn
11234,Canarsie/Flatlands,Brooklyn
11235,Southern Brooklyn,Brooklyn
11236,Canarsie/Flatlands,Brooklyn
11237,Bushwick/Williamsburg,Brooklyn
11238,Central Brooklyn,Brooklyn
11239,Canarsie/Flatlands,Brooklyn
11249,Bushwick/Williamsburg,Brooklyn
11308,South Shore,Staten Island
11309,South Shore,Staten Island
11354,North Queens,Queens
11355,North Queens,Queens
11356,North Queens,Queens
11357,North Queens,Queens
11358,North Queens,Queens
11359,North Queens,Queens
11360,North Queens,Queens
11361,Northeast Queens,Queens
11362,Northeast Queens,Queens
11363,Northeast Queens,Queens
11364,Northeast Queens,Queens
11365,Central Queens,Queens
11366,Central Queens,Queens
11367,Central Queens,Queens
11368,West Queens,Queens
11369,West Queens,Queens
11370,West Queens,Queens
11372,West Queens,Queens
11373,West Queens,Queens
11374,West Central Queens,Queens
11375,West Central Queens,Queens
11377,West Queens,Queens
11378,West Queens,Queens
11379,West Central Queens,Queens
11385,West Central Queens,Queens
11411,Southeast Queens,Queens
11412,Jamaica,Queens
11413,Southeast Queens,Queens
11414,Southwest Queens,Queens
11415,Southwest Queens,Queens
11416,Southwest Queens,Queens
11417,Southwest Queens,Queens
11418,Southwest Queens,Queens
11419,Southwest Queens,Queens
11420,Southwest Queens,Queens
11421,Southwest Queens,Queens
11422,Southeast Queens,Queens
11423,Jamaica,Queens
11426,Southeast Queens,Queens
11427,Southeast Queens,Queens
11428,Southeast Queens,Queens
11429,Southeast Queens,Queens
11432,Jamaica,Queens
11433,Jamaica,Queens
11434,Jamaica,Queens
11435,Jamaica,Queens
11436,Jamaica,Queens
11691,Rockaways,Queens
11692,Rockaways,Queens
11693,Rockaways,Queens
11694,Rockaways,Queens
11695,Rockaways,Queens
11697,Rockaways,Queens
